Question	Option A	Option B	Option C	Option D	Prompt	GT
In the context of MITRE ATT&CK Enterprise, what does technique T1548 specifically describe?	Bypassing network access controls	Manipulating web page content	 Abusing elevation control mechanisms	 Intercepting data transmission	You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. Question: In the context of MITRE ATT&CK Enterprise, what does technique T1548 specifically describe? Options: A) Bypassing network access controls B) Manipulating web page content C)  Abusing elevation control mechanisms D)  Intercepting data transmission Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.	C
Which sub-technique of T1548 in MITRE ATT&CK Enterprise involves exploiting application configurations to achieve higher privileges?	.002 Exploit Public-Facing Application	.001 Setuid and Setgid	 .003 Path Interception	 .004 Scheduled Task	You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. Question: Which sub-technique of T1548 in MITRE ATT&CK Enterprise involves exploiting application configurations to achieve higher privileges? Options: A) .002 Exploit Public-Facing Application B) .001 Setuid and Setgid C)  .003 Path Interception D)  .004 Scheduled Task Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.	B
According to MITRE ATT&CK Enterprise, which data source would be most appropriate to detect actions described in technique T1548?	Application logs	Network flow data	 Authentication logs	 Process monitoring	You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. Question: According to MITRE ATT&CK Enterprise, which data source would be most appropriate to detect actions described in technique T1548? Options: A) Application logs B) Network flow data C)  Authentication logs D)  Process monitoring Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.	A
What is the primary tactical goal of an adversary when using technique T1548 as described in MITRE ATT&CK Enterprise section?	Data exfiltration	 Credential access	 Privilege escalation	 Lateral movement	You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. Question: What is the primary tactical goal of an adversary when using technique T1548 as described in MITRE ATT&CK Enterprise section? Options: A) Data exfiltration B)  Credential access C)  Privilege escalation D)  Lateral movement Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.	C
What does T1626.001 in the Mobile MITRE ATT&CK matrix refer to?	Abuse Elevation Control Mechanism: Device Administrator Permissions	Abuse Elevation Control Mechanism: User Account Control	Bypass User Account Control	Modify System Partition	You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. Question: What does T1626.001 in the Mobile MITRE ATT&CK matrix refer to? Options: A) Abuse Elevation Control Mechanism: Device Administrator Permissions B) Abuse Elevation Control Mechanism: User Account Control C) Bypass User Account Control D) Modify System Partition Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.	B
Which technique involves adversaries circumventing native elevation control mechanisms to escalate privileges, according to the Mobile MITRE ATT&CK matrix?	T1499 - Endpoint Denial of Service	T1078 - Valid Accounts	T1626 - Abuse Elevation Control Mechanism	T1134 - Access Token Manipulation	You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. Question: Which technique involves adversaries circumventing native elevation control mechanisms to escalate privileges, according to the Mobile MITRE ATT&CK matrix? Options: A) T1499 - Endpoint Denial of Service B) T1078 - Valid Accounts C) T1626 - Abuse Elevation Control Mechanism D) T1134 - Access Token Manipulation Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.	C
According to the MITRE ATT&CK Mobile matrix, what is a potential nefarious action an adversary might use the device administration API for?	Intercepting data	Installing ransomware	Resetting the device’s password	Encrypting files for ransom	You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. Question: According to the MITRE ATT&CK Mobile matrix, what is a potential nefarious action an adversary might use the device administration API for? Options: A) Intercepting data B) Installing ransomware C) Resetting the device’s password D) Encrypting files for ransom Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.	C
In the context of MITRE ATT&CK for Mobile, which description best fits Technique ID T1626?	Adversaries manipulate operating system features to escalate privileges	Adversaries may circumvent mechanisms designed to control elevated privileges to gain higher-level permissions	Adversaries exploit software vulnerabilities to gain unauthorized access	Adversaries use phishing attacks to steal credentials	You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. Question: In the context of MITRE ATT&CK for Mobile, which description best fits Technique ID T1626? Options: A) Adversaries manipulate operating system features to escalate privileges B) Adversaries may circumvent mechanisms designed to control elevated privileges to gain higher-level permissions C) Adversaries exploit software vulnerabilities to gain unauthorized access D) Adversaries use phishing attacks to steal credentials Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.	B
What could be an outcome of abusing Android’s device administration API as described under T1626.001 in the Mobile MITRE ATT&CK matrix?	Creating a covert channel	Executing a man-in-the-middle attack	Factory resetting the device	Launching a denial of service attack	You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. Question: What could be an outcome of abusing Android’s device administration API as described under T1626.001 in the Mobile MITRE ATT&CK matrix? Options: A) Creating a covert channel B) Executing a man-in-the-middle attack C) Factory resetting the device D) Launching a denial of service attack Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.	C
What is the tactical goal of activating the firmware update mode (T0800) in an ICS environment?	Sabotage device function	Initiate unauthorized code execution	Disrupt process monitoring and functionality	Exploit device communication protocols	You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. Question: What is the tactical goal of activating the firmware update mode (T0800) in an ICS environment? Options: A) Sabotage device function B) Initiate unauthorized code execution C) Disrupt process monitoring and functionality D) Exploit device communication protocols Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.	C
